598|N|Thorndale|Jefferson Station|2016-03-23|On Time|2016-03-23 00:25:57
398|N|Elwyn|Forest Hills|2016-03-23|1 min|2016-03-23 00:26:22
6779|S|Chestnut Hill East|Gravers|2016-03-23|On Time|2016-03-23 00:26:26
398|N|Elwyn|Somerton|2016-03-23|1 min|2016-03-23 00:26:28
276|N|Wilmington|Elm St|2016-03-23|1 min|2016-03-23 00:27:19
6779|S|Chestnut Hill East|Wyndmoor|2016-03-23|On Time|2016-03-23 00:27:42
476|N|Airport Terminal E-F|Melrose Park|2016-03-23|1 min|2016-03-23 00:27:43
780|N|Trenton|Levittown|2016-03-23|On Time|2016-03-23 00:28:09
279|S|Elm|Wilmington|2016-03-23|2 min|2016-03-23 00:28:23
6779|S|Chestnut Hill East|Mt Airy|2016-03-23|On Time|2016-03-23 00:28:25
591|S|Doylestown|30th Street Station|2016-03-23|On Time|2016-03-23 00:29:01
777|S|Chestnut Hill East|Croydon|2016-03-23|On Time|2016-03-23 00:29:10
6464|N|Powelton Yard|Fern Rock TC|2016-03-23|On Time|2016-03-23 00:29:30
476|N|Airport Terminal E-F|Elkins Park|2016-03-23|On Time|2016-03-23 00:29:34
6779|S|Chestnut Hill East|Sedgwick|2016-03-23|On Time|2016-03-23 00:29:41
478|N|Airport Terminal E-F|30th Street Station|2016-03-23|1 min|2016-03-23 00:29:43
398|N|Elwyn|Trevose|2016-03-23|1 min|2016-03-23 00:29:48
598|N|Thorndale|Temple U|2016-03-23|On Time|2016-03-23 00:29:57
777|S|Chestnut Hill East|Bristol|2016-03-23|On Time|2016-03-23 00:31:02
476|N|Airport Terminal E-F|Jenkintown-Wyncote|2016-03-23|On Time|2016-03-23 00:31:33
398|N|Elwyn|Neshaminy Falls|2016-03-23|2 min|2016-03-23 00:31:34
6779|S|Chestnut Hill East|Stenton|2016-03-23|On Time|2016-03-23 00:31:41
598|N|Thorndale|North Broad St|2016-03-23|On Time|2016-03-23 00:31:57
780|N|Trenton|Bristol|2016-03-23|On Time|2016-03-23 00:32:13
398|N|Elwyn|Langhorne|2016-03-23|On Time|2016-03-23 00:33:34
478|N|Airport Terminal E-F|Suburban Station|2016-03-23|1 min|2016-03-23 00:34:12
6779|S|Chestnut Hill East|Washington Lane|2016-03-23|On Time|2016-03-23 00:34:24
476|N|Airport Terminal E-F|Glenside|2016-03-23|1 min|2016-03-23 00:35:28
780|N|Trenton|Croydon|2016-03-23|On Time|2016-03-23 00:36:13
478|N|Airport Terminal E-F|Jefferson Station|2016-03-23|On Time|2016-03-23 00:36:20
398|N|Elwyn|Woodbourne|2016-03-23|On Time|2016-03-23 00:36:28
6779|S|Chestnut Hill East|Germantown|2016-03-23|On Time|2016-03-23 00:37:01
6464|N|Powelton Yard|Jenkintown-Wyncote|2016-03-23|On Time|2016-03-23 00:37:34
598|N|Thorndale|Wayne Jct|2016-03-23|On Time|2016-03-23 00:37:57
6779|S|Chestnut Hill East|Wister|2016-03-23|On Time|2016-03-23 00:38:24
6464|N|Powelton Yard|Glenside|2016-03-23|On Time|2016-03-23 00:39:01
780|N|Trenton|Cornwells Heights|2016-03-23|On Time|2016-03-23 00:39:07
6779|S|Chestnut Hill East|Wayne Jct|2016-03-23|On Time|2016-03-23 00:40:19
6464|N|Powelton Yard|Ardsley|2016-03-23|On Time|2016-03-23 00:41:29
780|N|Trenton|Torresdale|2016-03-23|On Time|2016-03-23 00:42:13
398|N|Elwyn|Yardley|2016-03-23|On Time|2016-03-23 00:42:27
598|N|Thorndale|Fern Rock TC|2016-03-23|On Time|2016-03-23 00:43:06
478|N|Airport Terminal E-F|Temple U|2016-03-23|On Time|2016-03-23 00:43:18
6464|N|Powelton Yard|Roslyn|2016-03-23|On Time|2016-03-23 00:43:29
6464|N|Powelton Yard|Crestmont|2016-03-23|On Time|2016-03-23 00:45:30
6779|S|Chestnut Hill East|Temple U|2016-03-23|On Time|2016-03-23 00:46:12
780|N|Trenton|Holmesburg Jct|2016-03-23|On Time|2016-03-23 00:46:19
398|N|Elwyn|West Trenton|2016-03-23|On Time|2016-03-23 00:46:21
6464|N|Powelton Yard|Willow Grove|2016-03-23|On Time|2016-03-23 00:46:22
780|N|Trenton|Tacony|2016-03-23|On Time|2016-03-23 00:47:08
598|N|Thorndale|Jenkintown-Wyncote|2016-03-23|On Time|2016-03-23 00:47:57
