18|4673646|HM263178|03/31/2006 08:20:00 AM|067XX S PERRY AVE|0486|BATTERY|DOMESTIC BATTERY SIMPLE|RESIDENCE|False|True|722|7.0|6.0|69.0|08B|1176558.0|1860293.0|2006|04/15/2016 08:55:02 AM|41.771992493|-87.628344689|(41.771992493, -87.628344689)
19|4673648|HM273363|04/05/2006 01:30:00 PM|046XX N MILWAUKEE AVE|1330|CRIMINAL TRESPASS|TO LAND|PARK PROPERTY|True|False|1623|16.0|45.0|15.0|26|1140652.0|1930355.0|2006|04/15/2016 08:55:02 AM|41.96498423|-87.758246066|(41.96498423, -87.758246066)
20|4673649|HM263200|03/31/2006 05:00:00 AM|062XX S RACINE AVE|0810|THEFT|OVER $500|SCHOOL, PUBLIC, GROUNDS|False|False|713|7.0|16.0|67.0|06|1169388.0|1863488.0|2006|04/15/2016 08:55:02 AM|41.780918241|-87.654535186|(41.780918241, -87.654535186)
21|4674087|HM258730|03/28/2006 10:00:00 PM|036XX N TRIPP AVE|0890|THEFT|FROM BUILDING|RESIDENCE|False|False|1731|17.0|38.0|16.0|06|1147354.0|1923850.0|2006|04/15/2016 08:55:02 AM|41.947007916|-87.733771546|(41.947007916, -87.733771546)
22|4673651|HM187138|02/17/2006 09:49:21 PM|025XX W 63RD ST|1811|NARCOTICS|POSS: CANNABIS 30GMS OR LESS|STREET|True|False|825|8.0|15.0|66.0|18|1160358.0|1862793.0|2006|04/15/2016 08:55:02 AM|41.779201903|-87.68766023|(41.779201903, -87.68766023)
23|4673652|HM273922|04/05/2006 06:18:00 PM|064XX S EVANS AVE|0479|BATTERY|AGG: HANDS/FIST/FEET SERIOUS INJURY|STREET|False|False|312|3.0|20.0|42.0|04B|1182324.0|1862574.0|2006|04/15/2016 08:55:02 AM|41.77812013|-87.607137914|(41.77812013, -87.607137914)
24|4673653|HM275134|04/06/2006 09:45:00 AM|003XX E SUPERIOR ST|0890|THEFT|FROM BUILDING|COMMERCIAL / BUSINESS OFFICE|False|False|1834|18.0|42.0|8.0|06|1178703.0|1905437.0|2006|04/15/2016 08:55:02 AM|41.895822485|-87.61910591|(41.895822485, -87.61910591)
25|4673654|HM263245|03/31/2006 09:13:54 AM|067XX S CARPENTER ST|0486|BATTERY|DOMESTIC BATTERY SIMPLE|STREET|True|True|724|7.0|17.0|68.0|08B|1170473.0|1860174.0|2006|04/15/2016 08:55:02 AM|41.771800653|-87.650653815|(41.771800653, -87.650653815)
26|4673655|HM274352|04/05/2006 10:30:00 PM|086XX W CATHERINE AVE|0560|ASSAULT|SIMPLE|RESIDENCE|False|False|1614|16.0|41.0|76.0|08A|1117738.0|1934538.0|2006|04/15/2016 08:55:02 AM|41.976854005|-87.842409045|(41.976854005, -87.842409045)
27|4673656|HM274327|04/05/2006 10:10:00 PM|006XX E 75TH ST|0320|ROBBERY|STRONGARM - NO WEAPON|OTHER|False|False|323|3.0|6.0|69.0|03|1181994.0|1855431.0|2006|04/15/2016 08:55:02 AM|41.758526669|-87.608568354|(41.758526669, -87.608568354)
28|4673657|HM263290|03/31/2006 10:00:00 AM|018XX W 69TH ST|502P|OTHER OFFENSE|FALSE/STOLEN/ALTERED TRP|STREET|True|False|726|7.0|17.0|67.0|26|1165457.0|1858929.0|2006|04/15/2016 08:55:02 AM|41.768491995|-87.669076134|(41.768491995, -87.669076134)
29|4673658|HM187164|02/17/2006 10:07:09 PM|013XX W 99TH ST|1811|NARCOTICS|POSS: CANNABIS 30GMS OR LESS|STREET|True|False|2213|22.0|21.0|73.0|18|1169204.0|1839119.0|2006|04/15/2016 08:55:02 AM|41.71405035|-87.655913138|(41.71405035, -87.655913138)
30|4673659|HM275109|04/05/2006 05:00:00 PM|013XX N MONITOR AVE|0910|MOTOR VEHICLE THEFT|AUTOMOBILE|STREET|False|False|2531|25.0|29.0|25.0|07|1137107.0|1908351.0|2006|04/15/2016 08:55:02 AM|41.904667442|-87.771810253|(41.904667442, -87.771810253)
31|4673660|HM270962|04/04/2006 09:25:00 AM|070XX S EBERHART AVE|0320|ROBBERY|STRONGARM - NO WEAPON|RESIDENCE PORCH/HALLWAY|True|False|322|3.0|6.0|69.0|03|1180796.0|1858402.0|2006|04/15/2016 08:55:02 AM|41.766707017|-87.612867693|(41.766707017, -87.612867693)
32|4673662|HM274694|04/05/2006 01:30:00 PM|061XX N CICERO AVE|0810|THEFT|OVER $500|VEHICLE-COMMERCIAL|False|False|1621|16.0|39.0|12.0|06|1143282.0|1940149.0|2006|04/15/2016 08:55:02 AM|41.991810858|-87.748330158|(41.991810858, -87.748330158)
33|4673663|HM272301|04/04/2006 08:50:00 PM|012XX E 53RD ST|0820|THEFT|$500 AND UNDER|ALLEY|True|False|2131|2.0|4.0|41.0|06|1185262.0|1870376.0|2006|04/15/2016 08:55:02 AM|41.79946087|-87.596121972|(41.79946087, -87.596121972)
34|4673665|HM187180|02/17/2006 10:15:18 PM|104XX S MARYLAND AVE|1811|NARCOTICS|POSS: CANNABIS 30GMS OR LESS|STREET|True|False|512|5.0|9.0|50.0|18|1183753.0|1835855.0|2006|04/15/2016 08:55:02 AM|41.704767061|-87.602730813|(41.704767061, -87.602730813)
35|4673666|HM263335|03/31/2006 10:09:29 AM|057XX S DAMEN AVE|0486|BATTERY|DOMESTIC BATTERY SIMPLE|RESIDENCE|False|True|715|7.0|15.0|67.0|08B|1164008.0|1866540.0|2006|04/15/2016 08:55:02 AM|41.789408173|-87.674173599|(41.789408173, -87.674173599)
36|4673667|HM275133|04/06/2006 12:00:00 AM|010XX E 46TH ST|0910|MOTOR VEHICLE THEFT|AUTOMOBILE|VACANT LOT/LAND|False|False|2123|2.0|4.0|39.0|07|1184015.0|1874724.0|2006|04/15/2016 08:55:02 AM|41.811421373|-87.600559037|(41.811421373, -87.600559037)
37|4673668|HM270946|04/04/2006 09:20:00 AM|065XX W BRYN MAWR AVE|1121|DECEPTIVE PRACTICE|COUNTERFEITING DOCUMENT|SCHOOL, PUBLIC, BUILDING|True|False|1612|16.0|41.0|10.0|10|1131583.0|1936817.0|2006|04/15/2016 08:55:02 AM|41.98287878|-87.791440835|(41.98287878, -87.791440835)
38|4673669|HM275153|04/06/2006 12:00:00 AM|023XX S HOMAN AVE|1310|CRIMINAL DAMAGE|TO PROPERTY|RESIDENCE|False|False|1024|10.0|22.0|30.0|14|1154064.0|1888321.0|2006|04/15/2016 08:55:02 AM|41.849381544|-87.710056078|(41.849381544, -87.710056078)
39|4673671|HM270257|04/03/2006 10:10:00 PM|0000X N PULASKI RD|0460|BATTERY|SIMPLE|SIDEWALK|False|False|1115|11.0|28.0|26.0|08B|1149725.0|1899855.0|2006|04/15/2016 08:55:02 AM|41.88111752|-87.725681231|(41.88111752, -87.725681231)
40|4673672|HM274520|04/06/2006 01:30:00 AM|051XX N EAST RIVER RD|0810|THEFT|OVER $500|VEHICLE NON-COMMERCIAL|False|False|1614|16.0|41.0|76.0|06|1116626.0|1932599.0|2006|04/15/2016 08:55:02 AM|41.971550568|-87.846538986|(41.971550568, -87.846538986)
41|4673674|HM273789|04/05/2006 01:00:00 AM|003XX S SACRAMENTO BLVD|0915|MOTOR VEHICLE THEFT|TRUCK, BUS, MOTOR HOME|STREET|False|False|1124|11.0|28.0|27.0|07|1156430.0|1898408.0|2006|04/15/2016 08:55:02 AM|41.877013896|-87.7010999|(41.877013896, -87.7010999)
42|4673676|HM266799|04/02/2006 02:15:00 AM|042XX W WILCOX ST|0486|BATTERY|DOMESTIC BATTERY SIMPLE|SIDEWALK|False|False|1115|11.0|28.0|26.0|08B|1148174.0|1898999.0|2006|04/15/2016 08:55:02 AM|41.878798552|-87.731398505|(41.878798552, -87.731398505)
43|4673677|HM186846|02/17/2006 06:46:23 PM|061XX S MAY ST|1811|NARCOTICS|POSS: CANNABIS 30GMS OR LESS|STREET|True|False|712|7.0|16.0|68.0|18|1169700.0|1864172.0|2006|04/15/2016 08:55:02 AM|41.782788454|-87.653371503|(41.782788454, -87.653371503)
44|4673678|HM273093|04/04/2006 11:00:00 AM|063XX S COTTAGE GROVE AVE|0320|ROBBERY|STRONGARM - NO WEAPON|STREET|False|False|312|3.0|20.0|42.0|03|1182650.0|1863246.0|2006|04/15/2016 08:55:02 AM|41.7799566|-87.605921959|(41.7799566, -87.605921959)
45|4673680|HM263324|03/30/2006 10:00:00 PM|017XX W 59TH ST|0610|BURGLARY|FORCIBLE ENTRY|RESIDENCE|False|False|714|7.0|15.0|67.0|05|1165551.0|1865564.0|2006|04/15/2016 08:55:02 AM|41.786697304|-87.668543565|(41.786697304, -87.668543565)
46|4673681|HM275157|04/06/2006 11:40:00 AM|052XX S PULASKI RD|0820|THEFT|$500 AND UNDER|PARKING LOT/GARAGE(NON.RESID.)|False|False|815|8.0|23.0|62.0|06|1150589.0|1869566.0|2006|04/15/2016 08:55:02 AM|41.79798376|-87.723298581|(41.79798376, -87.723298581)
47|4673684|HM274723|04/05/2006 05:00:00 PM|073XX S CALUMET AVE|1320|CRIMINAL DAMAGE|TO VEHICLE|STREET|False|False|323|3.0|6.0|69.0|14|1179746.0|1856495.0|2006|04/15/2016 08:55:02 AM|41.761498077|-87.616774546|(41.761498077, -87.616774546)
48|4673685|HM275152|04/06/2006 11:30:00 AM|051XX S FAIRFIELD AVE|2825|OTHER OFFENSE|HARASSMENT BY TELEPHONE|STREET|False|True|911|9.0|14.0|63.0|26|1158909.0|1870481.0|2006|04/15/2016 08:55:02 AM|41.800328564|-87.692762447|(41.800328564, -87.692762447)
49|4673686|HM263342|03/31/2006 10:15:00 AM|070XX S MORGAN ST|0810|THEFT|OVER $500|VEHICLE NON-COMMERCIAL|False|False|733|7.0|17.0|68.0|06|1170858.0|1858216.0|2006|04/15/2016 08:55:02 AM|41.766419266|-87.649299614|(41.766419266, -87.649299614)
50|4673687|HM186978|02/17/2006 07:14:31 PM|053XX W MADISON ST|1811|NARCOTICS|POSS: CANNABIS 30GMS OR LESS|RESIDENCE|True|False|1522|15.0|28.0|25.0|18|1140588.0|1899501.0|2006|04/15/2016 08:55:02 AM|41.880318725|-87.759240858|(41.880318725, -87.759240858)
