skoda|octavia|38513|2009|1600|75|||None|man|5|5|gasoline|2015-11-14 18:10:08.392798+00|2016-01-27 20:40:15.46361+00|7957.07
skoda|fabia|87777|2005|1400|51|||None|man|5|5|diesel|2015-11-14 18:10:08.414917+00|2016-01-27 20:40:15.46361+00|3256.85
skoda|fabia|98835|2005|1400|55|||None|man|5|5|diesel|2015-11-14 18:10:08.454386+00|2016-01-27 20:40:15.46361+00|3923.02
citroen|c5|143130|2011|1600|82|||None|man|5|5|diesel|2015-11-14 18:10:08.479129+00|2016-01-27 20:40:15.46361+00|7512.95
kia||61304|2009|1400|80|||None|man|5|5|gasoline|2015-11-14 18:10:08.488399+00|2016-01-27 20:40:15.46361+00|5810.51
ford|c-max|99713|2008|1600|74|||None|man|5|5|gasoline|2015-11-14 18:10:08.517679+00|2016-01-27 20:40:15.46361+00|6476.68
citroen|c1|78010|2006|1000|50|||None|man|5|4|gasoline|2015-11-14 18:10:08.538207+00|2016-01-27 20:40:15.46361+00|2627.68
audi|a8|4000|2014|4134|317|||None|auto|4|4|diesel|2015-11-14 18:10:08.564659+00|2016-01-27 20:40:15.46361+00|98692.3
skoda|octavia|101761|2009|1900|77|||None|man|5|5|diesel|2015-11-14 18:10:08.573448+00|2016-01-27 20:40:15.46361+00|9363.43
skoda|fabia|142093|2004|1200|47|||None|man|5|5|gasoline|2015-11-14 18:10:08.581695+00|2016-01-27 20:40:15.46361+00|2220.58
skoda|octavia|55569|2011|1600|77|||None|man|5|5|diesel|2015-11-14 18:10:08.593902+00|2016-01-27 20:40:15.46361+00|9548.48
audi|q7|283000|2007|2967|171|||None|auto|5|5|diesel|2015-11-14 18:10:08.621412+00|2016-01-27 20:40:15.46361+00|11806.07
skoda|fabia|137505|2005|1200|47|||None|man|5|4|gasoline|2015-11-14 18:10:08.657866+00|2016-01-27 20:40:15.46361+00|2183.57
skoda|roomster|50300|2008|1200|51|||None|man|5|5|gasoline|2015-11-14 18:10:08.684981+00|2016-01-27 20:40:15.46361+00|4922.28
ford|mondeo|164867|2012|2000|120|||None|man|5|5|diesel|2015-11-14 18:10:08.693466+00|2016-01-27 20:40:15.46361+00|11102.89
citroen|c5|126500|2006|1600|80|||None|man|5|5|diesel|2015-11-14 18:10:08.737376+00|2016-01-27 20:40:15.46361+00|3256.85
ford|focus|134000|2008|1600|80|||None|man|5|5|diesel|2015-11-14 18:10:08.76488+00|2016-01-27 20:40:15.46361+00|5107.33
||135389|2012|1600|77|||None|man|5|5|diesel|2015-11-14 18:10:08.772956+00|2016-01-27 20:40:15.46361+00|10732.79
||135585|2005|1600|83|||None|man|5|7|gasoline|2015-11-14 18:10:08.814552+00|2016-01-27 20:40:15.46361+00|3700.96
||124343|2013|1600|84|||None|auto|5|5|diesel|2015-11-14 18:10:08.823154+00|2016-01-27 20:40:15.46361+00|10214.66
||169028|2011|1600|82|||None|man|5|5|diesel|2015-11-14 18:10:08.848523+00|2016-01-27 20:40:15.46361+00|9326.42
||155075|2012|1600|82|||None|man|5|5|diesel|2015-11-14 18:10:08.8653+00|2016-01-27 20:40:15.46361+00|8993.34
skoda|octavia|127380|2006|1896|77|||None|man|5|5|diesel|2015-11-14 18:54:01.774102+00|2016-01-27 20:40:15.46361+00|4626.17
skoda|octavia|181450|2005|1896|77|||None|man|5|5|diesel|2015-11-14 18:54:01.800325+00|2016-01-27 20:40:15.46361+00|4252.41
skoda|octavia|151880|2007|1896|77|||None|man|5|5|diesel|2015-11-14 18:54:01.809961+00|2016-01-27 20:40:15.46361+00|4959.25
ford|galaxy|263000|1998|1998|85|||None|man|5|7|gasoline|2015-11-14 18:54:01.823634+00|2016-01-27 20:40:15.46361+00|740.19
skoda|octavia|132140|2010|1896|77|||None|man|5|5|diesel|2015-11-14 18:54:01.833045+00|2016-01-27 20:40:15.46361+00|7031.79
skoda|fabia|187669|2007|1422|51|||None|man|5|4|diesel|2015-11-14 18:54:01.841598+00|2016-01-27 20:40:15.46361+00|3327.17
toyota|auris|5|2015|1598|97|||None|man|5|5|gasoline|2015-11-14 18:54:01.851591+00|2016-01-27 20:40:15.46361+00|14985.2
toyota|aygo|5|2015|998|51|||None|man|5|4|gasoline|2015-11-14 18:54:01.867933+00|2016-01-27 20:40:15.46361+00|8878.57
||187510|2006|1968|103|||None|man|5|5|diesel|2015-11-14 18:54:01.886473+00|2016-01-27 20:40:15.46361+00|4441.12
skoda|superb|170220|2005|1896|96|||None|man|5|5|diesel|2015-11-14 18:54:01.89615+00|2016-01-27 20:40:15.46361+00|4108.07
citroen|c4|91960|2006|1360|65|||None|man|5|5|gasoline|2015-11-14 18:54:01.907636+00|2016-01-27 20:40:15.46361+00|3885.64
seat|leon|176536||1968|125|||None|man|5|5|diesel|2015-11-14 18:54:01.936872+00|2016-01-27 20:40:15.46361+00|6254.63
skoda|felicia|69000|1997|1598|55|||None|man|5|5|gasoline|2015-11-14 18:54:01.965445+00|2016-01-27 20:40:15.46361+00|1813.47
skoda|fabia|177974|2003|1200|40|||None|man|5|5|gasoline|2015-11-14 18:54:02.539846+00|2016-01-27 20:40:15.46361+00|1850.48
skoda|fabia|130749|2004|1200|47|||None|man|5|5|gasoline|2015-11-14 18:54:02.557776+00|2016-01-27 20:40:15.46361+00|2960.77
skoda|felicia|89799|1996|1300|50|||None|man|5|5|gasoline|2015-11-14 18:54:02.581457+00|2016-01-27 20:40:15.46361+00|962.25
||94480|2005|1400|55|||None|auto|4|5|gasoline|2015-11-14 18:54:02.5898+00|2016-01-27 20:40:15.46361+00|3552.92
ford|mondeo|191442|2006|2000|85|||None|man|5|5|diesel|2015-11-14 18:54:02.603404+00|2016-01-27 20:40:15.46361+00|3700.96
