40430099999;PRINCE MOHAMMAD BIN ABDULAZIZ;SA;2019;2019-09-08T23:00:00+02:00;24.553422;39.705061;655.62;270;ANGULAR DEGREES;Passed all quality control checks;Normal;4.1;METERS PER SECOND;Passed all quality control checks;99999;METERS;Passed gross limits check if element is present;Missing;No;10000;METERS;Passed all quality control checks;Missing;Passed gross limits check if element is present;36.9;DEGREES CELSIUS;Passed all quality control checks;5;DEGREES CELSIUS;Passed all quality control checks;1000.4;HECTOPASCALS;Passed all quality control checks;24.553422|39.705061
40430099999;PRINCE MOHAMMAD BIN ABDULAZIZ;SA;2019;2019-09-08T23:00:00+02:00;24.553422;39.705061;655.62;270;ANGULAR DEGREES;Passed all quality control checks;Normal;4.1;METERS PER SECOND;Passed all quality control checks;99999;METERS;Passed gross limits check if element is present;Missing;Yes;9900;METERS;Passed all quality control checks| data originate from an NCEI data source;Missing;Passed gross limits check if element is present;37.0;DEGREES CELSIUS;Passed all quality control checks;5;DEGREES CELSIUS;Passed all quality control checks;9999.9;HECTOPASCALS;Passed gross limits check if element is present;24.553422|39.705061
40420099999;AL AHSA;SA;2019;2019-09-08T23:00:00+02:00;25.285306;49.485189;179.22;240;ANGULAR DEGREES;Passed all quality control checks;Normal;2.6;METERS PER SECOND;Passed all quality control checks;99999;METERS;Passed gross limits check if element is present;Missing;No;10000;METERS;Passed all quality control checks;Missing;Passed gross limits check if element is present;30.0;DEGREES CELSIUS;Passed all quality control checks;15;DEGREES CELSIUS;Passed all quality control checks;1001.1;HECTOPASCALS;Passed all quality control checks;25.285306|49.485189
40405099999;GASSIM;SA;2019;2019-09-08T23:00:00+02:00;26.3;43.7666666;648.0;20;ANGULAR DEGREES;Passed all quality control checks;Normal;4.1;METERS PER SECOND;Passed all quality control checks;99999;METERS;Passed gross limits check if element is present;Missing;No;10000;METERS;Passed all quality control checks;Missing;Passed gross limits check if element is present;31.0;DEGREES CELSIUS;Passed all quality control checks;11;DEGREES CELSIUS;Passed all quality control checks;1002.7;HECTOPASCALS;Passed all quality control checks;26.3|43.7666666
40414099999;PRINCE SALMAN BIN ABDULAZIZ;SA;2019;2019-09-08T23:00:00+02:00;24.449867;44.121175;922.32;40;ANGULAR DEGREES;Passed all quality control checks;Normal;6.2;METERS PER SECOND;Passed all quality control checks;99999;METERS;Passed gross limits check if element is present;Missing;Yes;9900;METERS;Passed all quality control checks| data originate from an NCEI data source;Missing;Passed gross limits check if element is present;31.0;DEGREES CELSIUS;Passed all quality control checks;3;DEGREES CELSIUS;Passed all quality control checks;9999.9;HECTOPASCALS;Passed gross limits check if element is present;24.449867|44.121175
40400099999;WEJH;SA;2019;2019-09-08T23:00:00+02:00;26.198553;36.476381;20.11;310;ANGULAR DEGREES;Passed all quality control checks;Normal;4.1;METERS PER SECOND;Passed all quality control checks;99999;METERS;Passed gross limits check if element is present;Missing;No;10000;METERS;Passed all quality control checks;Missing;Passed gross limits check if element is present;28.0;DEGREES CELSIUS;Passed all quality control checks;24;DEGREES CELSIUS;Passed all quality control checks;1005.2;HECTOPASCALS;Passed all quality control checks;26.198553|36.476381
40356099999;TURAIF;SA;2019;2019-09-08T23:00:00+02:00;31.692683;38.7312;854.35;270;ANGULAR DEGREES;Passed all quality control checks;Normal;4.1;METERS PER SECOND;Passed all quality control checks;99999;METERS;Passed gross limits check if element is present;Missing;No;10000;METERS;Passed all quality control checks;Missing;Passed gross limits check if element is present;25.0;DEGREES CELSIUS;Passed all quality control checks;18;DEGREES CELSIUS;Passed all quality control checks;9999.9;HECTOPASCALS;Passed gross limits check if element is present;31.692683|38.7312
40357099999;ARAR;SA;2019;2019-09-08T23:00:00+02:00;30.906589;41.138217;552.6;250;ANGULAR DEGREES;Passed all quality control checks;Normal;3.6;METERS PER SECOND;Passed all quality control checks;99999;METERS;Passed gross limits check if element is present;Missing;No;10000;METERS;Passed all quality control checks;Missing;Passed gross limits check if element is present;27.7;DEGREES CELSIUS;Passed all quality control checks;11;DEGREES CELSIUS;Passed all quality control checks;1003.3;HECTOPASCALS;Passed all quality control checks;30.906589|41.138217
40420099999;AL AHSA;SA;2019;2019-09-08T23:00:00+02:00;25.285306;49.485189;179.22;240;ANGULAR DEGREES;Passed all quality control checks;Normal;2.6;METERS PER SECOND;Passed all quality control checks;99999;METERS;Passed gross limits check if element is present;Missing;Yes;9900;METERS;Passed all quality control checks| data originate from an NCEI data source;Missing;Passed gross limits check if element is present;30.0;DEGREES CELSIUS;Passed all quality control checks;15;DEGREES CELSIUS;Passed all quality control checks;9999.9;HECTOPASCALS;Passed gross limits check if element is present;25.285306|49.485189
40415099999;DAMMAM (KING FAHD INT. AIRPORT);SA;2019;2019-09-08T23:00:00+02:00;26.4333333;49.8;12.0;999;ANGULAR DEGREES;Passed gross limits check if element is present;Variable;1.5;METERS PER SECOND;Passed all quality control checks;99999;METERS;Passed gross limits check if element is present;Missing;No;10000;METERS;Passed all quality control checks;Missing;Passed gross limits check if element is present;28.8;DEGREES CELSIUS;Passed all quality control checks;17;DEGREES CELSIUS;Passed all quality control checks;1001.1;HECTOPASCALS;Passed all quality control checks;26.4333333|49.8
